Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G549,III,III,0.6577755035083085,97.48813199981564,LDominant,LDominant
G381,III,III,0.7367334221949634,99.98109015269702,LDominant,LDominant
G389,III,III,0.7380346701179754,100.0,LDominant,LDominant
G395,III,III,0.7340063860491057,99.9501246882793,LDominant,LDominant
G069,IV - Gardnerella,IV,0.3410184524335677,9.377615768867289,LDepleted,LDepleted
G053,IV - Gardnerella,IV,0.2227965210360978,29.44078947368421,LDepleted,LDepleted
G486,V - Mix L.iners,V,0.6634556666002773,99.6932386435265,LDominant,LDominant
G466,V - Mix L.iners,V,0.6624969609235404,99.83636448641825,LDominant,LDominant
G563,I,I,0.8829283254381826,99.93749320578324,LDominant,LDominant
G172,V - Mix L.iners,V,-0.212751092146183,98.21586739212958,LDominant,LDominant
G145,V - Mix L.iners,V,0.6526376941638778,99.69136508081662,LDominant,LDominant
G094,V - Mix L.iners,V,0.7038788609531867,99.86012818104007,LDominant,LDominant
G054,II,II,0.5850049747820125,98.3420946219167,LDominant,LDominant
G086,II - L.gasseri + Atopobium,II,0.38007665627419757,47.612888921735276,LDominant,LDepleted
G272,III,III,0.2748603346532024,99.89962165083777,LDominant,LDominant
G292,III,III,0.7392421235457682,100.0,LDominant,LDominant
G290,III,III,0.7296086711885033,99.78206979214906,LDominant,LDominant
G222,V - Mix L.iners,V,0.6590403000824716,99.93358891538624,LDominant,LDominant
G293,I,I,0.5210787169293702,99.94019883886078,LDominant,LDominant
G175,I,I,0.8804841457657284,99.83713776077346,LDominant,LDominant
G244,I,I,0.37900596469029724,62.88672551769656,LDominant,LDepleted
G189,III,III,0.5225670616835,91.0661699485542,LDominant,LDominant
G162,I,I,0.8833091704214715,99.92960606470828,LDominant,LDominant
G258,III,III,0.6394156821252096,98.49608448030375,LDominant,LDominant
G161,III,III,0.6805789876443172,98.83919252602908,LDominant,LDominant
G038,I,I,0.8458290256120882,99.12241794449372,LDominant,LDominant
G110,I,I,0.8854544733143933,99.98713371288879,LDominant,LDominant
G031,I,I,0.8844432280594796,99.97852602645594,LDominant,LDominant
G472,I,I,0.865620668505433,99.46326335877863,LDominant,LDominant
G479,I,I,0.8804060140728288,99.96854136810094,LDominant,LDominant
G497,I,I,0.7906120439398193,95.955973287163,LDominant,LDominant
G504,V,V,0.5971786575635684,96.24726647922525,LDominant,LDominant
G546,V,V,0.5013784129793081,98.35362647142107,LDominant,LDominant
G463,IV - Mix Anaerobes/Other Lactobacilli,IV,-0.01882517022873004,0.2329699002888827,LDepleted,LDepleted
